Observation id,Part5_build2,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,,,,,,,
,,,,,,,,
Observation date,2020-03-21 12:34:52,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
0.046,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,l_4r_1,4Red,,POINT
0.365,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,l_4r_2,4Red,,POINT
1.732,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,l_4yr_1,4YellowRound,,POINT
1.960,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,l_2dr_1,2DarkRed,,POINT
2.279,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,l_3_om,3Orange,,POINT
2.279,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,l_3_os,3Orange,,POINT
3.282,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,l_4r_1,4Red,,POINT
4.102,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,l_2dr_2,2DarkRed,,POINT
4.831,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,l_4r_1,4Red,,POINT
5.333,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,l_3_os,3Orange,,POINT
5.697,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,l_3_om,3Orange,,POINT
6.290,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,l_3_os,3Orange,,POINT
6.746,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,l_2dr_1,2DarkRed,,POINT
7.293,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,l_3_om,3Orange,,POINT
7.475,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,l_4r_3,4Red,,POINT
7.885,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,l_1t,1transparent,,POINT
9.480,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,l_3_om,3Orange,,POINT
10.711,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,l_1t,1transparent,,POINT
11.668,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,l_3_os,3Orange,,POINT
12.170,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,l_2dr_2,2DarkRed,,POINT
12.352,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,l_3_ob,3Orange,,POINT
12.671,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,l_3_om,3Orange,,POINT
12.808,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,l_4yr_2,4YellowRound,,POINT
13.172,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,l_4r_1,4Red,,POINT
13.172,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,l_4r_2,4Red,,POINT
13.446,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,u_4r_1,4Red,,START
13.537,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,u_4yr_3,4YellowRound,,START
15.314,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_2_DFB/exports/002/world.mp4,69.920,21.94,,BC,BrickClick,,POINT
