Observation id,Part19_build1,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,,,,,,,
,,,,,,,,
Observation date,2020-04-20 17:23:37,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
3.202,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_4yr_1,4YellowRound,,POINT
3.784,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_2dr_1,2DarkRed,,POINT
5.821,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_4r_1,4Red,,POINT
5.988,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_4r_2,4Red,,POINT
6.486,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_1t,1transparent,,POINT
6.653,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_3_ob,3Orange,,POINT
6.694,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_4r_3,4Red,,POINT
6.819,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_4r_4,4Red,,POINT
6.902,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_4yr_2,4YellowRound,,POINT
7.027,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_2dr_2,2DarkRed,,POINT
7.568,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_1t,1transparent,,POINT
7.568,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_4r_2,4Red,,POINT
7.692,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_4yr_3,4YellowRound,,POINT
8.108,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_4r_2,4Red,,POINT
8.358,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_4yr_1,4YellowRound,,POINT
8.690,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_1t,1transparent,,POINT
9.023,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_3_ob,3Orange,,POINT
9.397,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_4yr_2,4YellowRound,,POINT
9.522,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_3_om,3Orange,,POINT
10.021,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_4yr_4,4YellowRound,,POINT
10.353,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_4yr_2,4YellowRound,,POINT
12.225,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_4r_1,4Red,,POINT
12.225,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_4r_2,4Red,,POINT
12.807,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_1t,1transparent,,POINT
12.890,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_4r_3,4Red,,POINT
13.430,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_4r_2,4Red,,POINT
13.846,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_4r_3,4Red,,POINT
13.929,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/19_BLD_1_DFB/exports/000/world.mp4,63.780,24.05,,l_3_ob,3Orange,,POINT
