Observation id,Part5_build3,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,,,,,,,
,,,,,,,,
Observation date,2020-03-21 19:51:11,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
6.002,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_4yr_1,4YellowRound,,POINT
6.363,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_3_os,3Orange,,POINT
6.523,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_4r_1,4Red,,POINT
6.883,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_4yr_2,4YellowRound,,POINT
7.123,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_3_os,3Orange,,POINT
7.843,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_2dr_1,2DarkRed,,POINT
7.963,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_3_os,3Orange,,POINT
8.844,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_4r_2,4Red,,POINT
9.604,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_4r_1,4Red,,POINT
9.924,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_3_os,3Orange,,POINT
11.525,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_2dr_1,2DarkRed,,POINT
12.765,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_4r_1,4Red,,POINT
14.166,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_4yr_1,4YellowRound,,POINT
14.526,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_3_os,3Orange,,POINT
15.726,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_4yr_3,4YellowRound,,POINT
16.206,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_3_os,3Orange,,POINT
17.007,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_4r_1,4Red,,POINT
17.447,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_3_os,3Orange,,POINT
18.928,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_3_ob,3Orange,,POINT
19.448,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_3_os,3Orange,,POINT
21.569,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_4yr_1,4YellowRound,,POINT
21.969,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_3_os,3Orange,,POINT
25.330,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_4r_1,4Red,,POINT
26.170,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_4yr_3,4YellowRound,,POINT
26.291,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_4yr_1,4YellowRound,,POINT
27.051,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_4r_1,4Red,,POINT
27.371,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,l_2dr_1,2DarkRed,,POINT
27.771,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/5_BLD_3_DFB/exports/001/world.mp4,142.320,24.99,,u_2dr_1,2DarkRed,,START
