Observation id,Part16_build2,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,,,,,,,
,,,,,,,,
Observation date,2020-04-18 11:08:32,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
1.063,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,l_1t,1transparent,,POINT
1.116,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,l_2dr_1,2DarkRed,,POINT
2.072,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,l_4yr_1,4YellowRound,,POINT
3.029,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,l_2dr_2,2DarkRed,,POINT
6.057,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,l_1t,1transparent,,POINT
6.908,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,l_4r_1,4Red,,POINT
8.077,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,l_1t,1transparent,,POINT
8.767,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,l_4yr_1,4YellowRound,,POINT
9.405,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,l_2dr_1,2DarkRed,,POINT
9.777,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,l_4r_1,4Red,,POINT
10.574,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,l_1t,1transparent,,POINT
11.690,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,l_4r_1,4Red,,POINT
12.009,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,l_4yr_1,4YellowRound,,POINT
12.327,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,l_1t,1transparent,,POINT
13.974,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,l_3_om,3Orange,,POINT
13.974,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,u_2dr_2,2DarkRed,,START
14.931,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,l_4r_2,4Red,,POINT
15.356,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,l_2dr_2,2DarkRed,,POINT
15.781,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,l_1t,1transparent,,POINT
15.781,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,u_4r_2,4Red,,START
16.047,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,l_4r_1,4Red,,POINT
16.631,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,l_1t,1transparent,,POINT
17.163,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,u_4r_2,4Red,,STOP
17.322,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,u_2dr_2,2DarkRed,,STOP
18.172,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,l_3_ob,3Orange,,POINT
18.172,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,u_3_ob,3Orange,,START
18.704,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,u_2dr_2,2DarkRed,,START
20.138,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_2_DFB/exports/000/world.mp4,83.560,18.82,,BC,BrickClick,,POINT
