Observation id,Part4_build2,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,,,,,,,
,,,,,,,,
Observation date,2020-03-09 14:38:38,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
0.939,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,l_2dr_1,2DarkRed,,POINT
1.252,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,l_2dr_2,2DarkRed,,POINT
1.957,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,l_4r_1,4Red,,POINT
1.957,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,l_4yr_1,4YellowRound,,POINT
2.544,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,l_2dr_1,2DarkRed,,POINT
3.875,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,l_4r_1,4Red,,POINT
5.288,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,l_4yr_1,4YellowRound,,POINT
6.262,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,l_4yr_1,4YellowRound,,POINT
6.793,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,l_4r_1,4Red,,POINT
7.045,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,l_4r_2,4Red,,POINT
7.867,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,l_4r_1,4Red,,POINT
8.728,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,l_4r_2,4Red,,POINT
9.119,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,l_4yr_1,4YellowRound,,POINT
9.941,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,l_3_os,3Orange,,POINT
10.215,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,l_4yr_1,4YellowRound,,POINT
11.233,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,l_4r_2,4Red,,POINT
11.663,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,l_4r_1,4Red,,POINT
12.994,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,l_4yr_1,4YellowRound,,POINT
14.403,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,l_4r_1,4Red,,POINT
15.108,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,l_3_os,3Orange,,POINT
15.890,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,l_2dr_2,2DarkRed,,POINT
16.634,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,l_3_os,3Orange,,POINT
16.869,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,l_4r_3,4Red,,POINT
17.417,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,u_4yr_2,4YellowRound,,START
17.495,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,u_4r_3,4Red,,START
18.043,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,l_4r_3,4Red,,POINT
19.609,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,BC,BrickClick,,POINT
20.078,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.810,25.55,,u_4r_3,4Red,,STOP
