Part,Build,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status,Time_N
4,3,2.181,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,l_4r_1,4Red,,POINT,0
4,3,2.375,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,l_2dr_1,2DarkRed,,POINT,0.194
4,3,3.037,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,l_1t,1transparent,,POINT,0.856
4,3,3.037,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,l_4r_2,4Red,,POINT,0.856
4,3,3.505,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,l_3_om,3Orange,,POINT,1.324
4,3,3.544,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,l_2dr_1,2DarkRed,,POINT,1.363
4,3,4.245,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,l_1t,1transparent,,POINT,2.064
4,3,4.712,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,l_2dr_1,2DarkRed,,POINT,2.531
4,3,5.413,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,l_1t,1transparent,,POINT,3.232
4,3,5.685,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,l_2dr_1,2DarkRed,,POINT,3.504
4,3,7.126,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,l_2dr_1,2DarkRed,,POINT,4.945
4,3,7.516,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,l_3_ob,3Orange,,POINT,5.335
4,3,8.139,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,l_3_om,3Orange,,POINT,5.958
4,3,8.411,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,l_2dr_1,2DarkRed,,POINT,6.23
4,3,8.995,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,l_4r_4,4Red,,POINT,6.814
4,3,10.086,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,l_4yr_2,4YellowRound,,POINT,7.905
4,3,10.514,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,l_4r_1,4Red,,POINT,8.333
4,3,10.592,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,l_4yr_2,4YellowRound,,POINT,8.411
4,3,11.059,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,l_4r_3,4Red,,POINT,8.878
4,3,11.643,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,l_4yr_2,4YellowRound,,POINT,9.462
4,3,15.382,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,l_4yr_2,4YellowRound,,POINT,13.201
4,3,15.732,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,l_4r_3,4Red,,POINT,13.551
4,3,16.939,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,l_2dr_1,2DarkRed,,POINT,14.758
4,3,17.368,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,l_1t,1transparent,,POINT,15.187
4,3,19.003,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,l_4yr_3,4YellowRound,,POINT,16.822
4,3,19.003,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_3_DFB/exports/001/world.mp4,131.1,25.68,,u_2dr_1,2DarkRed,,START,16.822
