Part,Build,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status,Time_N
12,2,1.872,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_3_os,3Orange,,POINT,0
12,2,2.279,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_4yr_1,4YellowRound,,POINT,0.407
12,2,3.541,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_3_ob,3Orange,,POINT,1.669
12,2,3.785,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_4yr_2,4YellowRound,,POINT,1.913
12,2,4.111,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_2dr_1,2DarkRed,,POINT,2.239
12,2,4.477,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_4r_1,4Red,,POINT,2.605
12,2,4.681,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_1t,1transparent,,POINT,2.809
12,2,4.803,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_3_om,3Orange,,POINT,2.931
12,2,5.047,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_4yr_1,4YellowRound,,POINT,3.175
12,2,7.367,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_4yr_2,4YellowRound,,POINT,5.495
12,2,7.814,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_4r_2,4Red,,POINT,5.942
12,2,8.221,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_3_os,3Orange,,POINT,6.349
12,2,8.628,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_2dr_2,2DarkRed,,POINT,6.756
12,2,12.007,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_4r_3,4Red,,POINT,10.135
12,2,12.169,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_3_os,3Orange,,POINT,10.297
12,2,12.332,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_4yr_2,4YellowRound,,POINT,10.46
12,2,13.472,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_3_ob,3Orange,,POINT,11.6
12,2,13.757,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_2dr_2,2DarkRed,,POINT,11.885
12,2,14.001,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_4r_3,4Red,,POINT,12.129
12,2,14.367,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_3_ob,3Orange,,POINT,12.495
12,2,14.571,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_4yr_1,4YellowRound,,POINT,12.699
12,2,14.856,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_2dr_2,2DarkRed,,POINT,12.984
12,2,15.466,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_4yr_1,4YellowRound,,POINT,13.594
12,2,16.809,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_4r_3,4Red,,POINT,14.937
12,2,17.664,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_2dr_1,2DarkRed,,POINT,15.792
12,2,17.745,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,u_2dr_1,2DarkRed,,START,15.873
12,2,17.867,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,u_4r_3,4Red,,START,15.995
12,2,19.78,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_4yr_3,4YellowRound,,POINT,17.908
12,2,22.1,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,BC,BrickClick,,POINT,20.228
12,2,22.426,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_2dr_2,2DarkRed,,POINT,20.554
12,2,22.589,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_4yr_4,4YellowRound,,POINT,20.717
12,2,23.24,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,remove,Remove,,POINT,21.368
12,2,23.565,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_4yr_1,4YellowRound,,POINT,21.693
12,2,25.275,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,BC,BrickClick,,POINT,23.403
12,2,25.315,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,u_2dr_1,2DarkRed,,STOP,23.443
12,2,25.315,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,u_4r_3,4Red,,STOP,23.443
12,2,25.315,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,u_conf,Configuration,,START,23.443
12,2,25.438,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_1t,1transparent,,POINT,23.566
12,2,25.722,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,u_1t,1transparent,,START,23.85
12,2,26.089,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_conf,Configuration,,POINT,24.217
12,2,28.368,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,BC,BrickClick,,POINT,26.496
12,2,28.409,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,u_1t,1transparent,,STOP,26.537
12,2,28.409,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,u_conf,Configuration,,STOP,26.537
12,2,28.449,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,u_base,Base,,START,26.577
12,2,28.49,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_4yr_2,4YellowRound,,POINT,26.618
12,2,29.019,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_4r_2,4Red,,POINT,27.147
12,2,29.304,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_base,Base,,START,27.432
12,2,29.467,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,u_4r_2,4Red,,START,27.595
12,2,35.002,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,BC,BrickClick,,POINT,33.13
12,2,35.206,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,u_4r_2,4Red,,STOP,33.334
12,2,36.06,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_base,Base,,STOP,34.188
12,2,36.182,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_3_om,3Orange,,POINT,34.31
12,2,36.386,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_4r_4,4Red,,POINT,34.514
12,2,36.589,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,u_4r_4,4Red,,START,34.717
12,2,36.752,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_3_ob,3Orange,,POINT,34.88
12,2,37.078,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_4yr_3,4YellowRound,,POINT,35.206
12,2,38.014,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_2dr_2,2DarkRed,,POINT,36.142
12,2,38.746,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_2_DF/exports/000/world.mp4,127.81,24.57,,l_4yr_3,4YellowRound,,POINT,36.874
