Part,Build,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status,Time_N
12,3,1.209,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_3_ob,3Orange,,POINT,0
12,3,1.366,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_1t,1transparent,,POINT,0.157
12,3,1.682,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_4r_1,4Red,,POINT,0.473
12,3,2.049,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_3_om,3Orange,,POINT,0.84
12,3,2.26,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_3_ob,3Orange,,POINT,1.051
12,3,2.68,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_4r_2,4Red,,POINT,1.471
12,3,2.89,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_2dr_1,2DarkRed,,POINT,1.681
12,3,3.153,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_3_om,3Orange,,POINT,1.944
12,3,4.204,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_1t,1transparent,,POINT,2.995
12,3,4.729,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_2dr_1,2DarkRed,,POINT,3.52
12,3,5.202,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_2dr_2,2DarkRed,,POINT,3.993
12,3,5.991,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_3_ob,3Orange,,POINT,4.782
12,3,6.253,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_3_om,3Orange,,POINT,5.044
12,3,7.094,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_1t,1transparent,,POINT,5.885
12,3,7.62,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_2dr_2,2DarkRed,,POINT,6.411
12,3,7.725,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_4r_1,4Red,,POINT,6.516
12,3,8.145,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_4yr_1,4YellowRound,,POINT,6.936
12,3,8.776,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_3_ob,3Orange,,POINT,7.567
12,3,9.038,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_4r_2,4Red,,POINT,7.829
12,3,9.406,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_2dr_1,2DarkRed,,POINT,8.197
12,3,11.403,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_1t,1transparent,,POINT,10.194
12,3,12.664,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_3_ob,3Orange,,POINT,11.455
12,3,13.558,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_3_om,3Orange,,POINT,12.349
12,3,13.715,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,u_2dr_1,2DarkRed,,START,12.506
12,3,13.768,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,u_2dr_2,2DarkRed,,START,12.559
12,3,14.241,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_2dr_2,2DarkRed,,POINT,13.032
12,3,17.761,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,BC,BrickClick,,POINT,16.552
12,3,17.814,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,u_2dr_1,2DarkRed,,STOP,16.605
12,3,17.867,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,u_2dr_2,2DarkRed,,STOP,16.658
12,3,17.919,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,u_conf,Configuration,,START,16.71
12,3,18.024,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_3_om,3Orange,,POINT,16.815
12,3,18.602,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,u_3_om,3Orange,,START,17.393
12,3,19.075,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_conf,Configuration,,POINT,17.866
12,3,20.599,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,BC,BrickClick,,POINT,19.39
12,3,20.599,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,u_3_om,3Orange,,STOP,19.39
12,3,20.652,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,BC,BrickClick,,POINT,19.443
12,3,20.757,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,u_base,Base,,START,19.548
12,3,20.757,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,u_conf,Configuration,,STOP,19.548
12,3,20.967,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_3_ob,3Orange,,POINT,19.758
12,3,21.387,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,u_3_ob,3Orange,,START,20.178
12,3,21.492,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_1t,1transparent,,POINT,20.283
12,3,21.965,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/12_BLD_3_DF/exports/000/world.mp4,104.62,19.03,,l_base,Base,,START,20.756
