Part,Build,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status,Time_N
4,1,2.749,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_4yr_1,4YellowRound,,POINT,0
4,1,3.136,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_2dr_1,2DarkRed,,POINT,0.387
4,1,4.94,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_3_om,3Orange,,POINT,2.191
4,1,5.284,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_2dr_1,2DarkRed,,POINT,2.535
4,1,5.67,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_4r_1,4Red,,POINT,2.921
4,1,5.928,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_4yr_2,4YellowRound,,POINT,3.179
4,1,6.314,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_3_ob,3Orange,,POINT,3.565
4,1,6.572,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_2dr_1,2DarkRed,,POINT,3.823
4,1,7.302,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_4r_2,4Red,,POINT,4.553
4,1,7.904,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_3_ob,3Orange,,POINT,5.155
4,1,8.892,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_4r_1,4Red,,POINT,6.143
4,1,9.278,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_2dr_1,2DarkRed,,POINT,6.529
4,1,10.739,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_2dr_1,2DarkRed,,POINT,7.99
4,1,11.899,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_2dr_1,2DarkRed,,POINT,9.15
4,1,14.39,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_3_ob,3Orange,,POINT,11.641
4,1,14.948,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_4yr_2,4YellowRound,,POINT,12.199
4,1,16.323,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_2dr_1,2DarkRed,,POINT,13.574
4,1,17.869,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_3_ob,3Orange,,POINT,15.12
4,1,18.299,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_1t,1transparent,,POINT,15.55
4,1,18.385,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_2dr_1,2DarkRed,,POINT,15.636
4,1,18.9,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_3_ob,3Orange,,POINT,16.151
4,1,19.502,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_2dr_1,2DarkRed,,POINT,16.753
4,1,19.802,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_3_ob,3Orange,,POINT,17.053
4,1,20.146,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_2dr_1,2DarkRed,,POINT,17.397
4,1,20.619,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_4r_3,4Red,,POINT,17.87
4,1,21.048,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_4yr_1,4YellowRound,,POINT,18.299
4,1,21.048,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_4yr_2,4YellowRound,,POINT,18.299
4,1,21.649,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_4r_1,4Red,,POINT,18.9
4,1,21.735,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_4yr_2,4YellowRound,,POINT,18.986
4,1,22.251,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_4r_1,4Red,,POINT,19.502
4,1,22.723,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_3_ob,3Orange,,POINT,19.974
4,1,23.711,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_2dr_1,2DarkRed,,POINT,20.962
4,1,23.754,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_3_ob,3Orange,,POINT,21.005
4,1,24.141,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,l_2dr_1,2DarkRed,,POINT,21.392
4,1,24.699,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_1_DFB/exports/001/world.mp4,185.24,23.28,,u_1t,1transparent,,START,21.95
