Part,Build,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status,Time_N
4,2,0.939,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.81,25.55,,l_2dr_1,2DarkRed,,POINT,0
4,2,1.252,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.81,25.55,,l_2dr_2,2DarkRed,,POINT,0.313
4,2,1.957,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.81,25.55,,l_4r_1,4Red,,POINT,1.018
4,2,1.957,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.81,25.55,,l_4yr_1,4YellowRound,,POINT,1.018
4,2,2.544,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.81,25.55,,l_2dr_1,2DarkRed,,POINT,1.605
4,2,3.875,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.81,25.55,,l_4r_1,4Red,,POINT,2.936
4,2,5.288,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.81,25.55,,l_4yr_1,4YellowRound,,POINT,4.349
4,2,6.262,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.81,25.55,,l_4yr_1,4YellowRound,,POINT,5.323
4,2,6.793,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.81,25.55,,l_4r_1,4Red,,POINT,5.854
4,2,7.045,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.81,25.55,,l_4r_2,4Red,,POINT,6.106
4,2,7.867,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.81,25.55,,l_4r_1,4Red,,POINT,6.928
4,2,8.728,C:/Users/au643670/Desktop/LEGO_world/2020_02_13/4_BLD_2_DFB/exports/001/world.mp4,161.81,25.55,,l_4r_2,4Red,,POINT,7.789
