Part,Build,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status,Time_N
24,1,0.843,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/24_BLD_1_DF/exports/002/world.mp4,73.11,21.35,,l_4r_1,4Red,,POINT,0
24,1,1.077,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/24_BLD_1_DF/exports/002/world.mp4,73.11,21.35,,l_2dr_1,2DarkRed,,POINT,0.234
24,1,1.358,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/24_BLD_1_DF/exports/002/world.mp4,73.11,21.35,,l_3_ob,3Orange,,POINT,0.515
24,1,1.639,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/24_BLD_1_DF/exports/002/world.mp4,73.11,21.35,,l_2dr_2,2DarkRed,,POINT,0.796
24,1,1.874,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/24_BLD_1_DF/exports/002/world.mp4,73.11,21.35,,l_4yr_1,4YellowRound,,POINT,1.031
24,1,2.155,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/24_BLD_1_DF/exports/002/world.mp4,73.11,21.35,,l_1t,1transparent,,POINT,1.312
24,1,2.155,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/24_BLD_1_DF/exports/002/world.mp4,73.11,21.35,,l_3_os,3Orange,,POINT,1.312
24,1,2.576,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/24_BLD_1_DF/exports/002/world.mp4,73.11,21.35,,l_4yr_1,4YellowRound,,POINT,1.733
24,1,2.904,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/24_BLD_1_DF/exports/002/world.mp4,73.11,21.35,,l_4r_2,4Red,,POINT,2.061
24,1,3.653,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/24_BLD_1_DF/exports/002/world.mp4,73.11,21.35,,l_1t,1transparent,,POINT,2.81
24,1,4.169,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/24_BLD_1_DF/exports/002/world.mp4,73.11,21.35,,l_4r_3,4Red,,POINT,3.326
24,1,4.45,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/24_BLD_1_DF/exports/002/world.mp4,73.11,21.35,,l_4r_1,4Red,,POINT,3.607
24,1,4.637,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/24_BLD_1_DF/exports/002/world.mp4,73.11,21.35,,l_4r_4,4Red,,POINT,3.794
24,1,4.778,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/24_BLD_1_DF/exports/002/world.mp4,73.11,21.35,,l_4r_2,4Red,,POINT,3.935
24,1,5.34,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/24_BLD_1_DF/exports/002/world.mp4,73.11,21.35,,l_4r_3,4Red,,POINT,4.497
24,1,5.433,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/24_BLD_1_DF/exports/002/world.mp4,73.11,21.35,,l_4r_2,4Red,,POINT,4.59
24,1,6.323,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/24_BLD_1_DF/exports/002/world.mp4,73.11,21.35,,l_2dr_1,2DarkRed,,POINT,5.48
24,1,6.464,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/24_BLD_1_DF/exports/002/world.mp4,73.11,21.35,,l_4yr_2,4YellowRound,,POINT,5.621
24,1,6.792,C:/Users/au643670/Desktop/LEGO_world/2020_02_15/24_BLD_1_DF/exports/002/world.mp4,73.11,21.35,,l_4r_1,4Red,,POINT,5.949
