Part,Build,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status,Time_N
16,3,0.055,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,l_4r_1,4Red,,POINT,0
16,3,0.055,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,l_4r_2,4Red,,POINT,0
16,3,0.549,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,l_1t,1transparent,,POINT,0.494
16,3,0.823,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,l_4yr_1,4YellowRound,,POINT,0.768
16,3,1.098,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,l_4r_3,4Red,,POINT,1.043
16,3,1.317,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,l_4r_2,4Red,,POINT,1.262
16,3,2.086,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,l_1t,1transparent,,POINT,2.031
16,3,2.689,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,l_4r_1,4Red,,POINT,2.634
16,3,3.513,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,l_1t,1transparent,,POINT,3.458
16,3,3.568,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,l_4yr_1,4YellowRound,,POINT,3.513
16,3,3.842,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,l_4r_1,4Red,,POINT,3.787
16,3,4.446,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,l_4r_2,4Red,,POINT,4.391
16,3,5.763,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,l_1t,1transparent,,POINT,5.708
16,3,6.092,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,l_4r_2,4Red,,POINT,6.037
16,3,6.092,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,l_4yr_2,4YellowRound,,POINT,6.037
16,3,6.806,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,l_4r_3,4Red,,POINT,6.751
16,3,8.617,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,l_2dr_1,2DarkRed,,POINT,8.562
16,3,9.715,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,l_4yr_3,4YellowRound,,POINT,9.66
16,3,10.812,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,l_2dr_1,2DarkRed,,POINT,10.757
16,3,12.569,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,l_4r_2,4Red,,POINT,12.514
16,3,12.569,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,l_4yr_2,4YellowRound,,POINT,12.514
16,3,12.898,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,u_4yr_4,4YellowRound,,START,12.843
16,3,13.063,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,u_4yr_4,4YellowRound,,STOP,13.008
16,3,13.337,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,u_4yr_3,4YellowRound,,START,13.282
16,3,13.392,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,u_4yr_3,4YellowRound,,STOP,13.337
16,3,13.392,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,u_4yr_4,4YellowRound,,START,13.337
16,3,13.557,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,l_4yr_2,4YellowRound,,POINT,13.502
16,3,13.666,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,l_4yr_1,4YellowRound,,POINT,13.611
16,3,13.886,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,u_4yr_1,4YellowRound,,START,13.831
16,3,14.215,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,u_4yr_2,4YellowRound,,START,14.16
16,3,14.27,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,l_4r_4,4Red,,POINT,14.215
16,3,15.203,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,l_3_ob,3Orange,,POINT,15.148
16,3,15.697,C:/Users/au643670/Desktop/LEGO_world/2020_02_14/16_DFP_3_DFB/exports/000/world.mp4,199.79,18.22,,u_4yr_2,4YellowRound,,STOP,15.642
