id,start_timestamp,duration,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,base_data
0,104579.04759,498.14250000054017,0,1,0.41254703980220636,0.42064401897551607,0.7954533626644904,0.8127544241649445,3d gaze,-34.051915961965754,11.799061718336784,211.2403239701819,104579.04759 104579.05236150001 104579.057216 104579.061938 104579.0655445 104579.0685755 104579.07245800001 104579.076573 104579.0798365 104579.0852015 104579.0904245 104579.09246849999 104579.095303 104579.0994045 104579.103351 104579.10680499999 104579.11284 104579.1185605 104579.1239825 104579.1263315 104579.1297565 104579.135702 104579.139413 104579.14369 104579.1483975 104579.151305 104579.157596 104579.160909 104579.16503450001 104579.16900600001 104579.1730735 104579.1763145 104579.18058300001 104579.1836095 104579.18642 104579.19591899999 104579.199704 104579.203834 104579.20983949999 104579.2138685 104579.21786050001 104579.221857 104579.226272 104579.230346 104579.23445399999 104579.238408 104579.242973 104579.2470295 104579.250406 104579.25432899999 104579.2577555 104579.26200049999 104579.26654350001 104579.27087400001 104579.2744445 104579.27791949999 104579.2828915 104579.2909745 104579.293938 104579.297938 104579.301782 104579.3066145 104579.31075599999 104579.313896 104579.32065400001 104579.324693 104579.32899550001 104579.3337585 104579.337429 104579.3406095 104579.3445785 104579.34745100001 104579.3512805 104579.35522 104579.359486 104579.36370799999 104579.368164 104579.373566 104579.376204 104579.378741 104579.38389950001 104579.3878795 104579.3905135 104579.3943745 104579.397952 104579.402357 104579.406366 104579.4101715 104579.414051 104579.4182165 104579.4223075 104579.4261755 104579.43017949999 104579.433946 104579.4380295 104579.4425575 104579.44668349999 104579.4501545 104579.4539045 104579.458125 104579.46201250001 104579.4673635 104579.470832 104579.4975935 104579.504864 104579.5093605 104579.511539 104579.51601300001 104579.51947900001 104579.519743 104579.527963 104579.541723 104579.5457325
1,104579.550113,489.10000000614673,1,12,0.4172752421946886,0.4244365292551806,1.8615929158004523,0.8844707150767945,3d gaze,-31.987706390653923,10.896880456486702,208.2486613920137,104579.550113 104579.55426199999 104579.5583665 104579.562938 104579.567515 104579.569826 104579.575948 104579.584167 104579.591979 104579.606528 104579.6107135 104579.6145105 104579.617764 104579.623854 104579.627992 104579.636122 104579.644971 104579.653471 104579.663074 104579.668259 104579.674538 104579.683148 104579.69283100001 104579.699347 104579.705195 104579.712237 104579.724775 104579.729221 104579.735757 104579.75391150001 104579.771523 104579.780583 104579.829631 104579.84029000001 104579.847947 104579.856387 104579.864038 104579.873045 104579.898136 104579.916715 104579.92501949999 104579.925209 104579.938001 104579.94618 104579.9723465 104579.9759705 104579.9817895 104579.9837335 104579.997181 104580.01871199999 104580.0218785 104580.02789150001 104580.0306 104580.03921300001
2,104580.0524345,110.32350000459701,12,16,0.41454294380780415,0.4264477475002361,1.5978867722913994,0.8051992854895734,3d gaze,-33.26802509384503,10.639564620704421,210.65800212382874,104580.0524345 104580.07015049999 104580.0732825 104580.078299 104580.089867 104580.10647500001 104580.1110255 104580.1185665 104580.126357 104580.129725 104580.1332555 104580.136182 104580.145209 104580.15513300001 104580.162758
3,104580.18745699999,486.98200000217184,16,30,0.4123685811714073,0.42605106124242415,1.8552499490821186,0.9564857804609138,3d gaze,-33.04522837842395,10.414319135574186,204.69263805771504,104580.18745699999 104580.203807 104580.209549 104580.23789 104580.278195 104580.292418 104580.30104 104580.308113 104580.31774500001 104580.323817 104580.332017 104580.388106 104580.394871 104580.400095 104580.405872 104580.413253 104580.424771 104580.431845 104580.440354 104580.448503 104580.480453 104580.503565 104580.510566 104580.515901 104580.522281 104580.529038 104580.561654 104580.572808 104580.580733 104580.593563 104580.601058 104580.611865 104580.619857 104580.628103 104580.632551 104580.6739975 104580.674439
4,104580.6965945,499.93849999736995,30,32,0.4155430308053445,0.42031774244093667,1.3563197706712238,0.942298501031923,3d gaze,-33.59787171485284,12.064927932866341,215.15298552073702,104580.6965945 104580.700139 104580.70315 104580.707452 104580.711262 104580.7215805 104580.72551250001 104580.729701 104580.737088 104580.743032 104580.75022 104580.77620000001 104580.785743 104580.792549 104580.79977 104580.807818 104580.815885 104580.825901 104580.838296 104580.852834 104580.858834 104580.866063 104580.872611 104580.880044 104580.891874 104580.901214 104580.909208 104580.915681 104580.923661 104580.931992 104580.939789 104580.947777 104580.955881 104580.96374 104580.972068 104580.979894 104580.987898 104580.996217 104581.00434300001 104581.011952 104581.020435 104581.038146 104581.04295999999 104581.04627349999 104581.050365 104581.052898 104581.062102 104581.070152 104581.078794 104581.08754000001 104581.092958 104581.103177 104581.110492 104581.120702 104581.126232 104581.132735 104581.140023 104581.147879 104581.155844 104581.164793 104581.171873 104581.183727 104581.189584 104581.196533
5,104581.203739,452.0919999922626,32,33,0.4241704864966252,0.42186869327373594,1.0228337250420196,0.9748096989601008,3d gaze,-34.32810853879375,13.145477244827177,240.66659094348242,104581.203739 104581.21786599999 104581.2218745 104581.226188 104581.228414 104581.236142 104581.243754 104581.252194 104581.25984500001 104581.268625 104581.275955 104581.285389 104581.292111 104581.305527 104581.31083 104581.315803 104581.323834 104581.332593 104581.345598 104581.353398 104581.359665 104581.368632 104581.375983 104581.383977 104581.391733 104581.401295 104581.40777600001 104581.416158 104581.42476 104581.431802 104581.439891 104581.447873 104581.455733 104581.463756 104581.471668 104581.480563 104581.487734 104581.49698 104581.503679 104581.512252 104581.519684 104581.528254 104581.540053 104581.549007 104581.570435 104581.577619 104581.584945 104581.591704 104581.599844 104581.607746 104581.615761 104581.624669 104581.631681 104581.649315 104581.655831
6,104581.688892,216.11799999664072,33,38,0.424735779623071,0.5432594196618057,1.719654643377775,0.817358817277733,3d gaze,-36.80202004160918,-14.592537232724204,260.8202631812986,104581.688892 104581.695802 104581.709687 104581.715052 104581.721192 104581.731044 104581.742908 104581.757227 104581.76215 104581.768465 104581.775971 104581.82828350001 104581.8326945 104581.836836 104581.840725 104581.8523515 104581.85680899999 104581.860763 104581.8652915 104581.8696625 104581.8750225 104581.8780155 104581.88460349999 104581.89284 104581.89506800001 104581.896833 104581.90501
7,104581.964639,91.00300000864081,40,43,0.5403852341665146,0.5283651927015015,0.8528340750186773,0.7792655829228816,3d gaze,10.7685014183538,-11.780996401121511,280.8805270335465,104581.964639 104581.98697 104581.992238 104582.013435 104582.024665 104582.03177 104582.039685 104582.048237 104582.055642
8,104582.123115,178.32249999628402,45,49,0.4310170000917117,0.5296087760511566,0.9563221011081522,0.7864331889561027,3d gaze,-39.0070835146918,-12.851259416824114,296.1869596324281,104582.123115 104582.12667900001 104582.1305375 104582.13625400001 104582.140211 104582.14405500001 104582.14677650001 104582.153833 104582.1597995 104582.159832 104582.17847350001 104582.18340450001 104582.18785700001 104582.191599 104582.198935 104582.21114500001 104582.2181495 104582.22192350001 104582.2267295 104582.2304725 104582.234567 104582.23863450001 104582.242423 104582.2464755 104582.2501605 104582.25429099999 104582.2583085 104582.2625555 104582.266427 104582.2699895 104582.274146 104582.2787355 104582.2831335 104582.285367 104582.30143749999
9,104582.3238105,218.50849999464117,49,55,0.39308345654223703,0.6495621030011964,1.6904155616531953,0.8171411889955978,3d gaze,-55.84366020958612,-44.580408677067524,287.35719184155226,104582.3238105 104582.3279175 104582.33179200001 104582.335655 104582.34065299999 104582.34921799999 104582.3533275 104582.3559485 104582.35962450001 104582.3628575 104582.366531 104582.3743585 104582.377905 104582.383 104582.3880435 104582.391617 104582.39941099999 104582.405569 104582.40857599999 104582.4119685 104582.417898 104582.4240135 104582.4275945 104582.43009899999 104582.433483 104582.439274 104582.442829 104582.44605 104582.4520545 104582.45590999999 104582.460514 104582.464313 104582.46834200001 104582.472576 104582.476554 104582.479276 104582.485368 104582.490288 104582.4939415 104582.49730399999 104582.501701 104582.505772 104582.509513 104582.513005 104582.5167165 104582.520439 104582.5237715 104582.52757949999 104582.5306575 104582.53483399999 104582.5387305 104582.542319
10,104582.5538385,148.8565000036033,55,59,0.35322933041950655,0.6534912948244065,1.5613973562825465,0.9129361705859282,3d gaze,-79.52019270338836,-49.009241938451154,304.4825354500431,104582.5538385 104582.55801899999 104582.5622155 104582.566892 104582.5710035 104582.5756795 104582.579283 104582.58255600001 104582.58652849999 104582.589998 104582.5939595 104582.598128 104582.602575 104582.6065475 104582.610107 104582.620556 104582.630367 104582.6351365 104582.639805 104582.64170000001 104582.64702050001 104582.64951 104582.65359599999 104582.6633625 104582.667672 104582.671421 104582.673859 104582.67804 104582.682777 104582.686437 104582.68971400001 104582.694136 104582.6991555 104582.702695
