key,value
Player Software Version,1.19.2
Data Format Version,1.16
Export Date,15.04.2020
Export Time,11:34:26
Frame Index Range:,0 - 3139
Relative Time Range,00:00.000 - 02:07.810
Absolute Time Range,3609.935439 - 3737.7455459999996
