key,value
Player Software Version,1.19.2
Data Format Version,1.16
Export Date,15.04.2020
Export Time,10:48:07
Frame Index Range:,0 - 2724
Relative Time Range,00:00.000 - 02:09.951
Absolute Time Range,3408.5001089999996 - 3538.451541
