key,value
Player Software Version,1.19.2
Data Format Version,1.16
Export Date,20.04.2020
Export Time,10:23:40
Frame Index Range:,0 - 1962
Relative Time Range,00:00.000 - 01:36.029
Absolute Time Range,8491.026231 - 8587.055629
