key,value
Player Software Version,1.19.2
Data Format Version,1.16
Export Date,18.04.2020
Export Time,11:08:04
Frame Index Range:,0 - 1572
Relative Time Range,00:00.000 - 01:23.562
Absolute Time Range,996.606447 - 1080.169006
