key,value
Player Software Version,1.19.2
Data Format Version,1.16
Export Date,20.04.2020
Export Time,17:22:52
Frame Index Range:,0 - 1533
Relative Time Range,00:00.000 - 01:03.777
Absolute Time Range,14879.258619 - 14943.035823
