key,value
Player Software Version,1.19.2
Data Format Version,1.16
Export Date,20.04.2020
Export Time,10:30:07
Frame Index Range:,0 - 2216
Relative Time Range,00:00.000 - 01:29.957
Absolute Time Range,8757.296980000001 - 8847.254111
