key,value
Player Software Version,1.19.2
Data Format Version,1.16
Export Date,20.04.2020
Export Time,12:20:53
Frame Index Range:,0 - 1875
Relative Time Range,00:00.000 - 01:33.273
Absolute Time Range,8946.864989 - 9040.138947
