key,value
Player Software Version,1.19.2
Data Format Version,1.16
Export Date,16.04.2020
Export Time,13:38:32
Frame Index Range:,0 - 3223
Relative Time Range,00:00.000 - 02:44.090
Absolute Time Range,718.229198 - 882.3196909999999
