key,value
Player Software Version,1.19.2
Data Format Version,1.16
Export Date,08.04.2020
Export Time,09:17:33
Frame Index Range:,0 - 4134
Relative Time Range,00:00.000 - 02:41.809
Absolute Time Range,104880.055262 - 105041.86485
