key,value
Player Software Version,1.19.2
Data Format Version,1.16
Export Date,20.04.2020
Export Time,17:44:58
Frame Index Range:,0 - 1706
Relative Time Range,00:00.000 - 01:11.229
Absolute Time Range,15133.802003 - 15205.031894
