key,value
Player Software Version,1.19.2
Data Format Version,1.16
Export Date,21.04.2020
Export Time,12:28:11
Frame Index Range:,0 - 1943
Relative Time Range,00:00.000 - 01:43.172
Absolute Time Range,15349.090735 - 15452.263577
