key,value
Player Software Version,1.19.2
Data Format Version,1.16
Export Date,08.04.2020
Export Time,11:53:16
Frame Index Range:,0 - 1659
Relative Time Range,00:00.000 - 01:18.859
Absolute Time Range,26907.688936 - 26986.548828
