key,value
Player Software Version,1.19.2
Data Format Version,1.16
Export Date,08.04.2020
Export Time,09:44:07
Frame Index Range:,0 - 3365
Relative Time Range,00:00.000 - 02:11.099
Absolute Time Range,105180.875978 - 105311.97519
