key,value
Player Software Version,1.19.2
Data Format Version,1.16
Export Date,08.04.2020
Export Time,10:07:15
Frame Index Range:,0 - 2357
Relative Time Range,00:00.000 - 01:25.790
Absolute Time Range,108854.761888 - 108940.55228199999
