key,value
Player Software Version,1.19.2
Data Format Version,1.16
Export Date,18.04.2020
Export Time,13:32:03
Frame Index Range:,0 - 3640
Relative Time Range,00:00.000 - 03:19.792
Absolute Time Range,1167.371992 - 1367.164066
