start_timestamp,re-set clock,id,duration,start_frame_index,end_frame_index,Adjacent_Fixation?,Cumulative Fixation Time,Cumulative Fixation Counter,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,,Participant,Build,Time_boris,Time_N,Behavior_boris,Behavioral category,Status,closest_time_match,Look_duration,Fixations_per_look,Duration_of_1st_Fixation_in_look,pupil_start_frame,norm_Fixation_pos_x,norm_Fixation_pos_y,Fixation_number
3801.842,0,0,82.447,29,31,FALSE,82.447,1,0.358,0.506,0.840,0.818,3d gaze,-24.796,-2.195,99.241,,12,3,1.209,0,l_3_ob,3Orange,POINT,1.139,195.877,1,196,59,0.417,0.577,5
3801.983,0.141,1,181.980,32,38,FALSE,181.980,1,0.432,0.602,0.765,0.880,3d gaze,-13.878,-11.617,105.830,,12,3,1.366,0.157,l_1t,1transparent,POINT,1.442,299.151,2,151,66,0.276,0.578,6
3802.195,0.353,2,123.534,38,42,TRUE,296.136,2,0.497,0.640,1.931,0.896,3d gaze,-3.297,-16.281,113.558,,12,3,1.682,0.473,l_4r_1,4Red,POINT,1.616,148.310,1,148,72,0.227,0.554,7
3802.338,0.496,3,172.602,43,47,FALSE,172.602,1,0.486,0.606,1.085,0.924,3d gaze,-4.847,-11.929,106.276,,12,3,2.049,0.84,l_3_om,3Orange,POINT,2.040,204.045,1,204,83,0.342,0.727,9
3802.719,0.876,4,84.983,54,56,FALSE,84.983,1,0.341,0.627,1.641,0.936,3d gaze,-32.252,-15.666,115.133,,12,3,2.26,1.051,l_3_ob,3Orange,POINT,2.273,120.042,1,120,90,0.283,0.730,10
3802.981,1.139,5,195.877,59,63,FALSE,195.877,1,0.417,0.577,1.986,0.930,3d gaze,-15.388,-8.681,99.613,,12,3,2.68,1.471,l_4r_2,4Red,POINT,2.799,127.667,1,128,106,0.414,0.559,11
3803.284,1.442,6,150.841,66,71,TRUE,299.151,2,0.276,0.578,1.791,0.999,3d gaze,-36.835,-8.584,92.546,,12,3,2.89,1.681,l_2dr_1,2DarkRed,POINT,2.799,127.667,1,128,106,0.414,0.559,11
3803.458,1.616,7,148.310,72,76,FALSE,148.310,1,0.227,0.554,1.888,0.997,3d gaze,-46.033,-6.645,92.885,,12,3,3.153,1.944,l_3_om,3Orange,POINT,3.022,258.896,1,259,112,0.400,0.680,12
3803.666,1.824,8,172.222,78,82,TRUE,376.267,2,0.301,0.708,1.970,0.969,3d gaze,-36.342,-22.309,102.070,,12,3,4.204,2.995,l_1t,1transparent,POINT,4.095,222.376,1,222,139,0.412,0.517,17
3803.882,2.040,9,204.045,83,89,FALSE,204.045,1,0.342,0.727,1.464,0.981,3d gaze,-29.374,-24.141,103.289,,12,3,4.729,3.52,l_2dr_1,2DarkRed,POINT,4.689,203.171,1,203,157,0.420,0.699,18
