start_timestamp,re-set clock,id,duration,start_frame_index,end_frame_index,Adjacent_Fixation?,Cumulative Fixation Time,Cumulative Fixation Counter,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,,Participant,Build,Time_boris,Time_N,Behavior_boris,Behavioral category,Status,closest_time_match,Look_duration,Fixations_per_look,Duration_of_1st_Fixation_in_look,pupil_start_frame,norm_Fixation_pos_x,norm_Fixation_pos_y,Fixation_number
109153.879,0,2,325.498,0,4,FALSE,325.498,1,0.458,0.524,0.864,0.993,3d gaze,-16.804,-7.187,188.823,,5,2,0.046,0,l_4r_1,4Red,POINT,0,325.498,1,325,0,0.458,0.524,2
109154.252,0.372,3,216.038,5,11,TRUE,1244.845,4,0.334,0.608,1.567,0.827,3d gaze,-54.497,-22.02,186.422,,5,2,0.365,0.319,l_4r_2,4Red,POINT,0.372,1244.845,4,216,5,0.334,0.608,3
109154.493,0.614,4,222.162,11,18,TRUE,1028.807,3,0.292,0.559,1.966,0.768,3d gaze,-68.097,-13.716,185.326,,5,2,1.732,1.686,l_4yr_1,4YellowRound,POINT,1.708,324.304,1,324,29,0.43,0.498,7
109154.724,0.845,5,499.832,18,29,TRUE,806.645,2,0.28,0.563,1.438,0.756,3d gaze,-70.779,-14.131,182.122,,5,2,1.96,1.914,l_2dr_1,2DarkRed,POINT,2.103,253.76,1,254,30,0.554,0.538,8
109155.231,1.352,6,306.813,29,29,FALSE,306.813,1,0.276,0.569,1.25,0.669,3d gaze,-69.263,-14.704,174.304,,5,2,2.279,2.233,l_3_om,3Orange,POINT,2.38,153.736,1,154,34,0.54,0.616,9
109155.587,1.708,7,324.304,29,30,FALSE,324.304,1,0.43,0.498,1.971,0.768,3d gaze,-21.075,-2.266,158.423,,5,2,2.279,2.233,l_3_os,3Orange,POINT,2.38,153.736,1,154,34,0.54,0.616,9
109155.982,2.103,8,253.76,30,33,FALSE,253.76,1,0.554,0.538,0.749,0.941,3d gaze,8.869,-7.579,150.399,,5,2,3.282,3.236,l_4r_1,4Red,POINT,3.403,611.924,2,499,60,0.445,0.637,12
109156.259,2.38,9,153.736,34,39,FALSE,153.736,1,0.54,0.616,1.265,0.955,3d gaze,5.602,-18.212,149.529,,5,2,4.102,4.056,l_2dr_2,2DarkRed,POINT,4.058,478.646,1,479,76,0.438,0.543,14
109156.482,2.603,10,294.812,41,49,TRUE,1402.053,4,0.458,0.655,1.956,0.853,3d gaze,-17.507,-30.777,194.607,,5,2,4.831,4.785,l_4r_1,4Red,POINT,4.623,665.452,2,497,91,0.437,0.649,15
109156.781,2.902,11,495.317,49,60,TRUE,1107.241,3,0.448,0.635,0.902,0.847,3d gaze,-19.485,-25.83,184.925,,5,2,5.333,5.287,l_3_os,3Orange,POINT,5.338,269.574,1,270,112,0.504,0.662,17
109157.283,3.403,12,498.638,60,73,TRUE,611.924,2,0.445,0.637,1.159,0.893,3d gaze,-20.106,-25.778,181.812,,5,2,5.697,5.651,l_3_om,3Orange,POINT,5.633,687.644,3,226,119,0.453,0.694,18
109157.785,3.905,13,113.286,73,76,FALSE,113.286,1,0.445,0.646,1.401,0.863,3d gaze,-20.44,-27.742,184.934,,5,2,6.29,6.244,l_3_os,3Orange,POINT,6.346,334.152,1,334,135,0.521,0.679,21
109157.937,4.058,14,478.646,76,89,FALSE,478.646,1,0.438,0.543,1.62,0.87,3d gaze,-20.501,-9.478,170.954,,5,2,6.746,6.7,l_2dr_1,2DarkRed,POINT,6.744,261.033,2,82,145,0.595,0.675,22
109158.502,4.623,15,497.357,91,106,TRUE,665.452,2,0.437,0.649,0.998,0.905,3d gaze,-21.35,-26.679,173.96,,5,2,7.293,7.247,l_3_om,3Orange,POINT,7.287,135.02,1,135,159,0.48,0.743,25
109159.019,5.14,16,168.095,107,111,FALSE,168.095,1,0.438,0.643,1.091,0.761,3d gaze,-20.93,-25.431,172.244,,5,2,7.475,7.429,l_4r_3,4Red,POINT,7.463,3773.176,10,342,164,0.373,0.748,26
109159.217,5.338,17,269.574,112,118,FALSE,269.574,1,0.504,0.662,1.901,0.93,3d gaze,-3.25,-29.98,183.188,,5,2,7.885,7.839,l_1t,1transparent,POINT,7.814,3431.291,9,221,172,0.339,0.713,27
109159.513,5.633,18,226.099,119,124,TRUE,687.644,3,0.453,0.694,1.84,0.865,3d gaze,-19.08,-37.907,194.369,,5,2,9.48,9.434,l_3_om,3Orange,POINT,9.494,2053.851,5,82,213,0.406,0.791,31
109159.745,5.866,19,275.499,124,131,TRUE,461.545,2,0.47,0.719,1.362,0.965,3d gaze,-14.019,-42.492,194.331,,5,2,10.711,10.665,l_1t,1transparent,POINT,10.595,994.575,2,496,239,0.379,0.754,34
109160.025,6.145,20,186.046,131,135,FALSE,186.046,1,0.486,0.73,0.907,0.975,3d gaze,-8.893,-43.752,191.619,,5,2,11.668,11.622,l_3_os,3Orange,POINT,11.646,396.059,1,396,264,0.456,0.695,36
109160.226,6.346,21,334.152,135,143,FALSE,334.152,1,0.521,0.679,1.331,0.936,3d gaze,1.524,-31.969,177.559,,5,2,12.17,12.124,l_2dr_2,2DarkRed,POINT,12.071,205.726,1,206,274,0.419,0.56,37
109160.623,6.744,22,81.677,145,147,TRUE,261.033,2,0.595,0.675,1.432,0.904,3d gaze,22.289,-31.633,178.9,,5,2,12.352,12.306,l_3_ob,3Orange,POINT,12.322,330.906,2,201,280,0.348,0.573,38
109160.714,6.835,23,179.356,148,152,FALSE,179.356,1,0.604,0.664,1.149,0.792,3d gaze,24.676,-29.483,176.632,,5,2,12.671,12.625,l_3_om,3Orange,POINT,12.73,177.304,2,91,288,0.557,0.534,40
109160.96,7.08,24,123.516,154,157,TRUE,258.537,2,0.521,0.699,1.61,0.786,3d gaze,1.444,-33.751,170.033,,5,2,12.808,12.762,l_4yr_2,4YellowRound,POINT,12.877,86.649,1,87,289,0.539,0.568,41
109161.166,7.287,25,135.02,159,163,FALSE,135.02,1,0.48,0.743,1.24,0.953,3d gaze,-11.15,-47.158,195.647,,5,2,13.172,13.126,l_4r_1,4Red,POINT,13.108,154.51,1,155,289,0.468,0.663,43
