start_timestamp,re-set clock,id,duration,start_frame_index,end_frame_index,Adjacent_Fixation?,Cumulative Fixation Time,Cumulative Fixation Counter,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,,Participant,Build,Time_boris,Time_N,Behavior_boris,Behavioral category,Status,closest_time_match,Look_duration,Fixations_per_look,Duration_of_1st_Fixation_in_look,pupil_start_frame,norm_Fixation_pos_x,norm_Fixation_pos_y,Fixation_number
104579.0476,0,0,498.143,0,1,TRUE,2536.579,6,0.413,0.421,0.795,0.813,3d gaze,-34.052,11.799,211.24,,4,1,2.749,0,l_4yr_1,4YellowRound,POINT,2.641,216.118,1,216,33,0.425,0.543,6
104579.5501,0.503,1,489.1,1,12,TRUE,2038.436,5,0.417,0.424,1.862,0.884,3d gaze,-31.988,10.897,208.249,,4,1,3.136,0.387,l_2dr_1,2DarkRed,POINT,3.076,178.322,1,178,45,0.431,0.53,8
104580.0524,1.005,2,110.324,12,16,TRUE,1549.336,4,0.415,0.426,1.598,0.805,3d gaze,-33.268,10.64,210.658,,4,1,4.94,2.191,l_3_om,3Orange,POINT,4.888,240.005,1,240,92,0.424,0.638,14
104580.1875,1.14,3,486.982,16,30,TRUE,1439.012,3,0.412,0.426,1.855,0.956,3d gaze,-33.045,10.414,204.693,,4,1,5.284,2.535,l_2dr_1,2DarkRed,POINT,5.179,674.456,3,352,100,0.336,0.641,15
104580.6966,1.649,4,499.938,30,32,TRUE,952.03,2,0.416,0.42,1.356,0.942,3d gaze,-33.598,12.065,215.153,,4,1,5.67,2.921,l_4r_1,4Red,POINT,5.649,224.738,1,225,112,0.379,0.68,17
104581.2037,2.156,5,452.092,32,33,FALSE,452.092,1,0.424,0.422,1.023,0.975,3d gaze,-34.328,13.145,240.667,,4,1,5.928,3.179,l_4yr_2,4YellowRound,POINT,5.912,248.346,2,97,120,0.354,0.506,18
104581.6889,2.641,6,216.118,33,38,FALSE,216.118,1,0.425,0.543,1.72,0.817,3d gaze,-36.802,-14.593,260.82,,4,1,6.314,3.565,l_3_ob,3Orange,POINT,6.368,183.116,1,183,133,0.602,0.543,21
104581.9646,2.917,7,91.003,40,43,FALSE,91.003,1,0.54,0.528,0.853,0.779,3d gaze,10.769,-11.781,280.881,,4,1,6.572,3.823,l_2dr_1,2DarkRed,POINT,6.579,288.404,1,288,140,0.573,0.629,22
104582.1231,3.076,8,178.322,45,49,FALSE,178.322,1,0.431,0.53,0.956,0.786,3d gaze,-39.007,-12.851,296.187,,4,1,7.302,4.553,l_4r_2,4Red,POINT,7.396,82.191,1,82,158,0.38,0.664,25
104582.3238,3.276,9,218.508,49,55,TRUE,367.365,2,0.393,0.65,1.69,0.817,3d gaze,-55.844,-44.58,287.357,,4,1,7.904,5.155,l_3_ob,3Orange,POINT,7.675,1464.878,7,158,166,0.582,0.617,27
104582.5538,3.506,10,148.857,55,59,FALSE,148.857,1,0.353,0.653,1.561,0.913,3d gaze,-79.52,-49.009,304.483,,4,1,8.892,6.143,l_4r_1,4Red,POINT,8.823,688.409,2,497,199,0.489,0.749,32
104582.7557,3.708,11,454.201,61,74,TRUE,1386.75,4,0.474,0.662,1.969,0.815,3d gaze,-21.886,-54.521,330.942,,4,1,9.278,6.529,l_2dr_1,2DarkRed,POINT,9.324,190.978,1,191,209,0.495,0.748,33
104583.2143,4.167,12,492.312,75,86,TRUE,932.55,3,0.469,0.656,1.064,0.809,3d gaze,-24.122,-52.745,331.628,,4,1,10.739,7.99,l_2dr_1,2DarkRed,POINT,10.643,724.642,4,216,247,0.378,0.707,39
104583.7149,4.667,13,200.233,86,92,TRUE,440.238,2,0.469,0.655,0.806,0.811,3d gaze,-23.917,-51.461,325.932,,4,1,11.899,9.15,l_2dr_1,2DarkRed,POINT,11.663,437.661,1,438,264,0.465,0.757,44
104583.9356,4.888,14,240.005,92,99,FALSE,240.005,1,0.424,0.638,1.578,0.846,3d gaze,-45.467,-45.043,315.193,,4,1,14.39,11.641,l_3_ob,3Orange,POINT,14.541,1655.17,5,93,323,0.547,0.706,51
104584.2263,5.179,15,351.669,100,109,TRUE,674.456,3,0.336,0.641,1.384,0.923,3d gaze,-87.893,-45.461,302.445,,4,1,14.948,12.199,l_4yr_2,4YellowRound,POINT,15.061,1169.271,3,500,338,0.482,0.714,53
104584.5953,5.548,16,98.049,109,112,TRUE,322.787,2,0.384,0.667,1.444,0.931,3d gaze,-61.596,-50.59,293.305,,4,1,16.323,13.574,l_2dr_1,2DarkRed,POINT,16.466,1564.451,5,89,375,0.414,0.732,56
104584.6967,5.649,17,224.738,112,119,FALSE,224.738,1,0.379,0.68,1.666,0.971,3d gaze,-60.468,-51.308,277.333,,4,1,17.869,15.12,l_3_ob,3Orange,POINT,17.697,425.984,1,426,410,0.441,0.732,60
104584.9593,5.912,18,96.725,120,123,TRUE,248.346,2,0.354,0.506,1.705,0.951,3d gaze,-68.974,-6.084,268.142,,4,1,18.299,15.55,l_1t,1transparent,POINT,18.168,420.624,2,259,422,0.513,0.72,61
