start_timestamp,re-set clock,id,duration,start_frame_index,end_frame_index,Adjacent_Fixation?,Cumulative Fixation Time,Cumulative Fixation Counter,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,,Participant,Build,Time_boris,Time_N,Behavior_boris,Behavioral category,Status,closest_time_match,Look_duration,Fixations_per_look,Duration_of_1st_Fixation_in_look,pupil_start_frame,norm_Fixation_pos_x,norm_Fixation_pos_y,Fixation_number
15133.791,0,1,230.010,0,3,TRUE,326.589,2,0.247,0.433,1.499,0.841,3d gaze,-178.311,18.880,392.477,,19,2,6.594,0,l_3_os,3Orange,POINT,6.622,583.414,2,333,186,0.453,0.544,12
15134.029,0.238,2,96.579,3,6,FALSE,96.579,1,0.242,0.423,1.789,0.900,3d gaze,-144.734,18.335,311.735,,19,2,7.346,0.752,l_4r_1,4Red,POINT,7.305,464.672,2,290,204,0.350,0.511,14
15134.153,0.362,3,260.991,7,14,TRUE,407.195,2,0.282,0.537,1.777,0.717,3d gaze,-155.746,-21.460,403.877,,19,2,7.346,0.752,l_4yr_1,4YellowRound,POINT,7.305,464.672,2,290,204,0.350,0.511,14
15134.462,0.671,4,146.204,15,18,FALSE,146.204,1,0.271,0.568,1.895,0.749,3d gaze,-149.292,-30.694,368.037,,19,2,7.721,1.127,l_1t,1transparent,POINT,7.598,175.084,1,175,212,0.356,0.487,15
15134.863,1.072,5,94.860,26,29,TRUE,212.349,2,0.278,0.790,1.844,0.841,3d gaze,-358.751,-271.762,876.592,,19,2,10.017,3.423,l_4yr_1,4YellowRound,POINT,10.156,534.143,3,260,285,0.395,0.445,17
15134.962,1.171,6,117.490,29,32,FALSE,117.490,1,0.271,0.771,0.982,0.866,3d gaze,-317.358,-219.100,755.025,,19,2,10.184,3.59,l_3_om,3Orange,POINT,10.156,534.143,3,260,285,0.395,0.445,17
15136.061,2.270,7,343.475,61,72,TRUE,1221.081,3,0.318,-0.043,0.771,0.824,3d gaze,-105.355,162.955,287.305,,19,2,10.476,3.882,l_4r_2,4Red,POINT,10.486,273.911,2,183,291,0.407,0.488,18
15136.457,2.666,8,571.885,73,89,TRUE,877.606,2,0.310,-0.001,1.480,0.741,3d gaze,-111.525,152.727,297.780,,19,2,10.935,4.341,l_4r_1,4Red,POINT,10.965,670.174,2,286,304,0.310,0.407,21
15137.516,3.725,9,305.721,103,112,FALSE,305.721,1,0.343,-0.037,1.564,0.781,3d gaze,-93.403,163.454,296.605,,19,2,11.144,4.55,l_4yr_1,4YellowRound,POINT,11.258,384.333,1,384,312,0.307,0.414,22
15140.069,6.278,10,126.988,177,180,TRUE,914.217,4,0.429,0.572,1.238,0.875,3d gaze,-139.247,-85.803,1035.802,,19,2,11.77,5.176,l_2dr_1,2DarkRed,POINT,11.702,251.090,1,251,324,0.474,0.404,23
