start_timestamp,re-set clock,id,duration,start_frame_index,end_frame_index,Adjacent_Fixation?,Cumulative Fixation Time,Cumulative Fixation Counter,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,,Participant,Build,Time_boris,Time_N,Behavior_boris,Behavioral category,Status,closest_time_match,Look_duration,Fixations_per_look,Duration_of_1st_Fixation_in_look,pupil_start_frame,norm_Fixation_pos_x,norm_Fixation_pos_y,Fixation_number
8490.951,0,2,92.864,0,1,TRUE,1109.653,8,0.532,0.258,1.917,0.745,3d gaze,4.464,35.464,172.557,,18,1,1.712,0,l_2dr_1,2DarkRed,POINT,1.782,493.817,1,494,30,0.427,0.449,11
8491.047,0.096,3,89.320,1,1,TRUE,1016.789,7,0.533,0.249,1.846,0.792,3d gaze,5.067,39.061,182.372,,18,1,1.712,0,l_4r_1,4Red,POINT,1.782,493.817,1,494,30,0.427,0.449,11
8491.257,0.307,4,168.375,5,10,TRUE,927.469,6,0.534,0.295,1.598,0.740,3d gaze,5.516,31.837,187.131,,18,1,2.153,0.441,l_2dr_1,2DarkRed,POINT,2.376,514.085,2,261,33,0.542,0.472,12
8491.430,0.480,5,86.677,10,13,TRUE,759.094,5,0.527,0.292,1.849,0.685,3d gaze,3.314,30.798,178.211,,18,1,2.74,1.028,l_3_ob,3Orange,POINT,2.640,252.931,1,253,39,0.561,0.487,13
8491.579,0.629,6,316.065,15,24,TRUE,672.417,4,0.531,0.319,1.958,0.733,3d gaze,4.648,28.292,191.213,,18,1,3.229,1.517,l_4r_1,4Red,POINT,3.242,1246.199,4,261,55,0.424,0.464,15
8491.905,0.955,7,114.368,25,27,TRUE,356.352,3,0.525,0.342,1.988,0.708,3d gaze,2.899,24.264,191.491,,18,1,4.795,3.083,l_4r_2,4Red,POINT,4.765,408.662,1,409,90,0.415,0.398,19
8492.106,1.155,8,106.920,30,30,TRUE,241.984,2,0.518,0.356,1.775,0.679,3d gaze,0.725,21.281,186.801,,18,1,4.941,3.229,l_4yr_1,4YellowRound,POINT,4.765,408.662,1,409,90,0.415,0.398,19
8492.221,1.270,9,135.063,30,30,FALSE,135.063,1,0.521,0.364,1.709,0.730,3d gaze,1.757,20.580,193.067,,18,1,5.235,3.523,l_3_ob,3Orange,POINT,5.220,305.097,1,305,101,0.548,0.426,20
8492.384,1.433,10,243.973,30,30,FALSE,243.973,1,0.527,0.488,1.914,0.866,3d gaze,3.395,-1.025,195.732,,18,1,5.626,3.914,l_2dr_1,2DarkRed,POINT,5.539,730.305,3,230,108,0.553,0.478,21
8492.733,1.782,11,493.817,30,32,FALSE,493.817,1,0.427,0.449,1.901,0.839,3d gaze,-28.763,6.100,207.472,,18,1,5.871,4.159,l_4r_3,4Red,POINT,5.887,411.926,1,412,118,0.569,0.513,23
