start_timestamp,re-set clock,id,duration,start_frame_index,end_frame_index,Adjacent_Fixation?,Cumulative Fixation Time,Cumulative Fixation Counter,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,,Participant,Build,Time_boris,Time_N,Behavior_boris,Behavioral category,Status,closest_time_match,Look_duration,Fixations_per_look,Duration_of_1st_Fixation_in_look,pupil_start_frame,norm_Fixation_pos_x,norm_Fixation_pos_y,Fixation_number
14879.474,0,1,175.122,4,10,FALSE,175.122,1,0.376,0.242,1.999,0.900,3d gaze,-60.569,60.932,269.927,,19,1,3.202,0,l_4yr_1,4YellowRound,POINT,3.182,217.220,1,217,97,0.436,0.260,12
14880.052,0.579,2,139.516,21,26,TRUE,488.973,3,0.463,0.197,0.473,0.978,3d gaze,-16.815,53.276,200.714,,19,1,3.784,0.582,l_2dr_1,2DarkRed,POINT,3.455,104.244,1,104,105,0.270,0.268,13
14880.300,0.826,3,202.872,29,35,TRUE,349.457,2,0.464,0.207,0.583,0.990,3d gaze,-17.534,54.752,214.237,,19,1,5.821,2.619,l_4r_1,4Red,POINT,5.588,653.323,2,462,167,0.341,0.417,16
14880.711,1.238,4,146.585,41,46,FALSE,146.585,1,0.466,0.207,0.419,0.997,3d gaze,-17.598,57.301,223.985,,19,1,5.988,2.786,l_4r_2,4Red,POINT,6.112,191.806,1,192,183,0.366,0.410,17
14880.973,1.499,5,156.557,49,54,TRUE,288.036,2,0.322,0.192,1.884,0.863,3d gaze,-82.554,72.183,254.880,,19,1,6.486,3.284,l_1t,1transparent,POINT,6.749,161.687,2,81,202,0.470,0.464,18
14881.137,1.664,6,131.479,54,58,FALSE,131.479,1,0.320,0.170,0.507,0.865,3d gaze,-83.348,77.826,253.520,,19,1,6.653,3.451,l_3_ob,3Orange,POINT,6.749,161.687,2,81,202,0.470,0.464,18
14881.407,1.933,7,214.748,62,68,TRUE,570.899,2,0.436,0.246,1.162,0.977,3d gaze,-52.647,90.404,414.366,,19,1,6.694,3.492,l_4r_3,4Red,POINT,6.749,161.687,2,81,202,0.470,0.464,18
14881.631,2.158,8,356.151,69,78,FALSE,356.151,1,0.399,0.203,1.874,0.962,3d gaze,-77.437,107.906,409.441,,19,1,6.819,3.617,l_4r_4,4Red,POINT,6.749,161.687,2,81,202,0.470,0.464,18
14882.088,2.615,9,151.404,81,86,FALSE,151.404,1,0.320,0.177,1.310,0.836,3d gaze,-165.218,150.598,504.114,,19,1,6.902,3.7,l_4yr_2,4YellowRound,POINT,6.945,80.364,1,80,205,0.440,0.477,19
14882.307,2.833,10,85.320,87,89,FALSE,85.320,1,0.332,0.262,1.639,0.856,3d gaze,-256.239,178.846,849.726,,19,1,7.027,3.825,l_2dr_2,2DarkRed,POINT,6.945,80.364,1,80,205,0.440,0.477,19
