start_timestamp,re-set clock,id,duration,start_frame_index,end_frame_index,Adjacent_Fixation?,Cumulative Fixation Time,Cumulative Fixation Counter,norm_pos_x,norm_pos_y,dispersion,confidence,method,gaze_point_3d_x,gaze_point_3d_y,gaze_point_3d_z,,Participant,Build,Time_boris,Time_N,Behavior_boris,Behavioral category,Status,closest_time_match,Look_duration,Fixations_per_look,Duration_of_1st_Fixation_in_look,pupil_start_frame,norm_Fixation_pos_x,norm_Fixation_pos_y,Fixation_number
718.109,0,1,124.161,0,1,FALSE,124.161,1,0.100,1.026,0.857,0.873,3d gaze,-166.424,-125.797,149.372,,16,1,1.628,0,l_3_ob,3Orange,POINT,1.689,482.213,1,482,34,0.402,0.716,5
718.658,0.549,2,499.453,8,20,TRUE,936.763,2,0.427,0.911,1.863,0.982,3d gaze,-27.348,-77.244,184.417,,16,1,2.188,0.56,l_4r_1,4Red,POINT,2.215,419.741,1,420,46,0.360,0.625,6
719.161,1.051,3,437.310,20,29,FALSE,437.310,1,0.428,0.908,1.355,0.951,3d gaze,-26.215,-73.908,177.715,,16,1,2.748,1.12,l_3_om,3Orange,POINT,2.733,1602.319,5,125,60,0.530,0.689,7
719.623,1.514,4,160.865,30,34,TRUE,643.077,2,0.416,0.757,1.451,0.955,3d gaze,-26.833,-43.518,168.783,,16,1,3.206,1.578,l_1t,1transparent,POINT,3.218,1127.958,3,414,72,0.548,0.721,9
719.798,1.689,5,482.213,34,45,FALSE,482.213,1,0.402,0.716,1.651,0.944,3d gaze,-30.530,-36.580,167.627,,16,1,3.613,1.985,l_4yr_1,4YellowRound,POINT,3.640,714.152,2,500,80,0.539,0.675,10
720.325,2.215,6,419.741,46,58,FALSE,419.741,1,0.360,0.625,1.384,0.826,3d gaze,-38.745,-20.713,155.258,,16,1,4.326,2.698,l_4yr_2,4YellowRound,POINT,4.383,755.947,2,487,95,0.532,0.731,12
720.842,2.733,7,124.523,60,63,TRUE,1602.319,5,0.530,0.689,1.896,0.771,3d gaze,3.732,-30.257,159.766,,16,1,5.089,3.461,l_3_ob,3Orange,POINT,5.259,277.594,2,142,108,0.379,0.694,14
720.974,2.865,8,349.838,63,72,TRUE,1477.796,4,0.542,0.696,1.744,0.784,3d gaze,6.961,-33.260,169.643,,16,1,6.565,4.937,l_3_om,3Orange,POINT,6.497,2681.669,9,195,142,0.505,0.703,16
721.328,3.218,9,413.805,72,80,TRUE,1127.958,3,0.548,0.721,1.858,0.788,3d gaze,8.703,-38.113,173.035,,16,1,6.768,5.14,l_1t,1transparent,POINT,6.700,2486.778,8,499,146,0.533,0.714,17
721.749,3.640,10,499.576,80,89,TRUE,714.152,2,0.539,0.675,1.980,0.770,3d gaze,6.274,-30.341,171.674,,16,1,8.295,6.667,l_2dr_1,2DarkRed,POINT,8.378,854.461,3,494,187,0.514,0.703,22
