time,total_length,FPS,behavior,behavioral_category,status,participantID,block
66.333,129.950,20.97,u_3_om,3Orange,START,12,1
68.288,129.950,20.97,BC,BrickClick,POINT,12,1
68.622,129.950,20.97,u_3_om,3Orange,STOP,12,1
72.103,129.950,20.97,BC,BrickClick,POINT,12,1
72.103,129.950,20.97,u_3_os,3Orange,STOP,12,1
72.294,129.950,20.97,l_3_os,3Orange,POINT,12,1
73.295,129.950,20.97,Acc,Accidents,START,12,1
77.206,129.950,20.97,remove,Remove,POINT,12,1
78.255,129.950,20.97,BC,BrickClick,POINT,12,1
82.260,129.950,20.97,BC,BrickClick,POINT,12,1
82.833,129.950,20.97,Acc,Accidents,STOP,12,1
83.596,129.950,20.97,Acc,Accidents,START,12,1
88.221,129.950,20.97,Acc,Accidents,STOP,12,1
88.221,129.950,20.97,BC,BrickClick,POINT,12,1
88.460,129.950,20.97,l_2dr_2,2DarkRed,POINT,12,1
88.460,129.950,20.97,l_base,Base,STOP,12,1
88.507,129.950,20.97,u_2dr_2,2DarkRed,START,12,1
88.555,129.950,20.97,l_base,Base,START,12,1
90.987,129.950,20.97,BC,BrickClick,POINT,12,1
91.130,129.950,20.97,u_2dr_2,2DarkRed,STOP,12,1
91.702,129.950,20.97,u_base,Base,STOP,12,1
91.893,129.950,20.97,l_base,Base,STOP,12,1
1.872,127.810,24.57,l_3_os,3Orange,POINT,12,2
2.279,127.810,24.57,l_4yr_1,4YellowRound,POINT,12,2
3.541,127.810,24.57,l_3_ob,3Orange,POINT,12,2
3.785,127.810,24.57,l_4yr_2,4YellowRound,POINT,12,2
4.111,127.810,24.57,l_2dr_1,2DarkRed,POINT,12,2
4.477,127.810,24.57,l_4r_1,4Red,POINT,12,2
4.681,127.810,24.57,l_1t,1transparent,POINT,12,2
4.803,127.810,24.57,l_3_om,3Orange,POINT,12,2
5.047,127.810,24.57,l_4yr_1,4YellowRound,POINT,12,2
7.367,127.810,24.57,l_4yr_2,4YellowRound,POINT,12,2
7.814,127.810,24.57,l_4r_2,4Red,POINT,12,2
8.221,127.810,24.57,l_3_os,3Orange,POINT,12,2
8.628,127.810,24.57,l_2dr_2,2DarkRed,POINT,12,2
12.007,127.810,24.57,l_4r_3,4Red,POINT,12,2
12.169,127.810,24.57,l_3_os,3Orange,POINT,12,2
12.332,127.810,24.57,l_4yr_2,4YellowRound,POINT,12,2
13.472,127.810,24.57,l_3_ob,3Orange,POINT,12,2
13.757,127.810,24.57,l_2dr_2,2DarkRed,POINT,12,2
14.001,127.810,24.57,l_4r_3,4Red,POINT,12,2
14.367,127.810,24.57,l_3_ob,3Orange,POINT,12,2
14.571,127.810,24.57,l_4yr_1,4YellowRound,POINT,12,2
14.856,127.810,24.57,l_2dr_2,2DarkRed,POINT,12,2
15.466,127.810,24.57,l_4yr_1,4YellowRound,POINT,12,2
16.809,127.810,24.57,l_4r_3,4Red,POINT,12,2
17.664,127.810,24.57,l_2dr_1,2DarkRed,POINT,12,2
17.745,127.810,24.57,u_2dr_1,2DarkRed,START,12,2
17.867,127.810,24.57,u_4r_3,4Red,START,12,2
19.780,127.810,24.57,l_4yr_3,4YellowRound,POINT,12,2
22.100,127.810,24.57,BC,BrickClick,POINT,12,2
22.426,127.810,24.57,l_2dr_2,2DarkRed,POINT,12,2
22.589,127.810,24.57,l_4yr_4,4YellowRound,POINT,12,2
23.240,127.810,24.57,remove,Remove,POINT,12,2
23.565,127.810,24.57,l_4yr_1,4YellowRound,POINT,12,2
25.275,127.810,24.57,BC,BrickClick,POINT,12,2
25.315,127.810,24.57,u_2dr_1,2DarkRed,STOP,12,2
25.315,127.810,24.57,u_4r_3,4Red,STOP,12,2
25.315,127.810,24.57,u_conf,Configuration,START,12,2
25.438,127.810,24.57,l_1t,1transparent,POINT,12,2
25.722,127.810,24.57,u_1t,1transparent,START,12,2
26.089,127.810,24.57,l_conf,Configuration,POINT,12,2
28.368,127.810,24.57,BC,BrickClick,POINT,12,2
28.409,127.810,24.57,u_1t,1transparent,STOP,12,2
28.409,127.810,24.57,u_conf,Configuration,STOP,12,2
28.449,127.810,24.57,u_base,Base,START,12,2
28.490,127.810,24.57,l_4yr_2,4YellowRound,POINT,12,2
29.019,127.810,24.57,l_4r_2,4Red,POINT,12,2
29.304,127.810,24.57,l_base,Base,START,12,2
29.467,127.810,24.57,u_4r_2,4Red,START,12,2
35.002,127.810,24.57,BC,BrickClick,POINT,12,2
35.206,127.810,24.57,u_4r_2,4Red,STOP,12,2
36.060,127.810,24.57,l_base,Base,STOP,12,2
36.182,127.810,24.57,l_3_om,3Orange,POINT,12,2
36.386,127.810,24.57,l_4r_4,4Red,POINT,12,2
36.589,127.810,24.57,u_4r_4,4Red,START,12,2
36.752,127.810,24.57,l_3_ob,3Orange,POINT,12,2
37.078,127.810,24.57,l_4yr_3,4YellowRound,POINT,12,2
38.014,127.810,24.57,l_2dr_2,2DarkRed,POINT,12,2
38.746,127.810,24.57,l_4yr_3,4YellowRound,POINT,12,2
44.689,127.810,24.57,l_base,Base,START,12,2
45.584,127.810,24.57,BC,BrickClick,POINT,12,2
45.706,127.810,24.57,l_base,Base,STOP,12,2
46.357,127.810,24.57,u_4r_4,4Red,STOP,12,2
46.398,127.810,24.57,l_3_om,3Orange,POINT,12,2
46.724,127.810,24.57,l_4r_1,4Red,POINT,12,2
47.049,127.810,24.57,u_4r_1,4Red,START,12,2
47.823,127.810,24.57,l_base,Base,START,12,2
50.549,127.810,24.57,l_base,Base,STOP,12,2
50.631,127.810,24.57,BC,BrickClick,POINT,12,2
50.631,127.810,24.57,u_4r_1,4Red,STOP,12,2
50.916,127.810,24.57,l_3_om,3Orange,POINT,12,2
51.160,127.810,24.57,u_3_om,3Orange,START,12,2
51.241,127.810,24.57,l_base,Base,START,12,2
52.788,127.810,24.57,BC,BrickClick,POINT,12,2
53.154,127.810,24.57,u_3_om,3Orange,STOP,12,2
53.236,127.810,24.57,l_base,Base,STOP,12,2
53.276,127.810,24.57,l_2dr_2,2DarkRed,POINT,12,2
53.317,127.810,24.57,l_3_ob,3Orange,POINT,12,2
53.643,127.810,24.57,l_3_os,3Orange,POINT,12,2
53.846,127.810,24.57,l_4yr_4,4YellowRound,POINT,12,2
54.253,127.810,24.57,l_base,Base,START,12,2
54.335,127.810,24.57,u_4yr_4,4YellowRound,START,12,2
55.759,127.810,24.57,BC,BrickClick,POINT,12,2
55.759,127.810,24.57,u_4yr_4,4YellowRound,STOP,12,2
56.654,127.810,24.57,l_base,Base,STOP,12,2
56.899,127.810,24.57,l_4yr_3,4YellowRound,POINT,12,2
56.899,127.810,24.57,u_4yr_3,4YellowRound,START,12,2
57.468,127.810,24.57,Acc,Accidents,START,12,2
58.038,127.810,24.57,l_base,Base,START,12,2
59.951,127.810,24.57,BC,BrickClick,POINT,12,2
59.951,127.810,24.57,u_4yr_3,4YellowRound,STOP,12,2
60.236,127.810,24.57,remove,Remove,POINT,12,2
63.329,127.810,24.57,BC,BrickClick,POINT,12,2
64.306,127.810,24.57,Acc,Accidents,STOP,12,2
64.347,127.810,24.57,remove,Remove,POINT,12,2
65.853,127.810,24.57,l_base,Base,STOP,12,2
65.893,127.810,24.57,u_4yr_4,4YellowRound,START,12,2
65.893,127.810,24.57,u_base,Base,STOP,12,2
65.975,127.810,24.57,l_4r_4,4Red,POINT,12,2
66.260,127.810,24.57,u_4r_4,4Red,START,12,2
67.643,127.810,24.57,BC,BrickClick,POINT,12,2
67.684,127.810,24.57,u_4r_4,4Red,STOP,12,2
67.684,127.810,24.57,u_4yr_4,4YellowRound,STOP,12,2
67.684,127.810,24.57,u_conf,Configuration,START,12,2
68.050,127.810,24.57,l_base,Base,START,12,2
68.213,127.810,24.57,u_base,Base,START,12,2
69.963,127.810,24.57,BC,BrickClick,POINT,12,2
70.248,127.810,24.57,l_base,Base,STOP,12,2
70.289,127.810,24.57,u_conf,Configuration,STOP,12,2
70.330,127.810,24.57,l_3_os,3Orange,POINT,12,2
71.184,127.810,24.57,l_base,Base,START,12,2
71.184,127.810,24.57,u_3_os,3Orange,START,12,2
73.830,127.810,24.57,BC,BrickClick,POINT,12,2
74.196,127.810,24.57,u_3_os,3Orange,STOP,12,2
74.237,127.810,24.57,l_base,Base,STOP,12,2
74.278,127.810,24.57,l_3_ob,3Orange,POINT,12,2
74.318,127.810,24.57,l_base,Base,START,12,2
74.318,127.810,24.57,u_3_ob,3Orange,START,12,2
78.551,127.810,24.57,BC,BrickClick,POINT,12,2
81.848,127.810,24.57,l_base,Base,STOP,12,2
81.970,127.810,24.57,u_3_ob,3Orange,STOP,12,2
82.011,127.810,24.57,l_4yr_1,4YellowRound,POINT,12,2
82.377,127.810,24.57,l_base,Base,START,12,2
82.662,127.810,24.57,u_4yr_1,4YellowRound,START,12,2
84.168,127.810,24.57,BC,BrickClick,POINT,12,2
84.168,127.810,24.57,l_base,Base,STOP,12,2
84.168,127.810,24.57,u_4yr_1,4YellowRound,STOP,12,2
84.534,127.810,24.57,l_4yr_2,4YellowRound,POINT,12,2
84.656,127.810,24.57,u_4yr_2,4YellowRound,START,12,2
84.737,127.810,24.57,l_2dr_2,2DarkRed,POINT,12,2
84.819,127.810,24.57,l_base,Base,START,12,2
85.999,127.810,24.57,BC,BrickClick,POINT,12,2
87.139,127.810,24.57,u_4yr_2,4YellowRound,STOP,12,2
87.383,127.810,24.57,l_base,Base,STOP,12,2
87.505,127.810,24.57,l_2dr_2,2DarkRed,POINT,12,2
87.831,127.810,24.57,l_base,Base,START,12,2
87.993,127.810,24.57,u_2dr_2,2DarkRed,START,12,2
90.802,127.810,24.57,Acc,Accidents,START,12,2
91.860,127.810,24.57,Acc,Accidents,STOP,12,2
93.000,127.810,24.57,BC,BrickClick,POINT,12,2
93.325,127.810,24.57,u_2dr_2,2DarkRed,STOP,12,2
94.221,127.810,24.57,l_base,Base,STOP,12,2
94.221,127.810,24.57,u_base,Base,STOP,12,2
1.209,104.620,19.03,l_3_ob,3Orange,POINT,12,3
1.366,104.620,19.03,l_1t,1transparent,POINT,12,3
1.682,104.620,19.03,l_4r_1,4Red,POINT,12,3
2.049,104.620,19.03,l_3_om,3Orange,POINT,12,3
2.260,104.620,19.03,l_3_ob,3Orange,POINT,12,3
2.680,104.620,19.03,l_4r_2,4Red,POINT,12,3
2.890,104.620,19.03,l_2dr_1,2DarkRed,POINT,12,3
3.153,104.620,19.03,l_3_om,3Orange,POINT,12,3
4.204,104.620,19.03,l_1t,1transparent,POINT,12,3
4.729,104.620,19.03,l_2dr_1,2DarkRed,POINT,12,3
5.202,104.620,19.03,l_2dr_2,2DarkRed,POINT,12,3
5.991,104.620,19.03,l_3_ob,3Orange,POINT,12,3
6.253,104.620,19.03,l_3_om,3Orange,POINT,12,3
7.094,104.620,19.03,l_1t,1transparent,POINT,12,3
7.620,104.620,19.03,l_2dr_2,2DarkRed,POINT,12,3
7.725,104.620,19.03,l_4r_1,4Red,POINT,12,3
8.145,104.620,19.03,l_4yr_1,4YellowRound,POINT,12,3
8.776,104.620,19.03,l_3_ob,3Orange,POINT,12,3
9.038,104.620,19.03,l_4r_2,4Red,POINT,12,3
9.406,104.620,19.03,l_2dr_1,2DarkRed,POINT,12,3
11.403,104.620,19.03,l_1t,1transparent,POINT,12,3
12.664,104.620,19.03,l_3_ob,3Orange,POINT,12,3
13.558,104.620,19.03,l_3_om,3Orange,POINT,12,3
13.715,104.620,19.03,u_2dr_1,2DarkRed,START,12,3
13.768,104.620,19.03,u_2dr_2,2DarkRed,START,12,3
14.241,104.620,19.03,l_2dr_2,2DarkRed,POINT,12,3
17.761,104.620,19.03,BC,BrickClick,POINT,12,3
17.814,104.620,19.03,u_2dr_1,2DarkRed,STOP,12,3
17.867,104.620,19.03,u_2dr_2,2DarkRed,STOP,12,3
17.919,104.620,19.03,u_conf,Configuration,START,12,3
18.024,104.620,19.03,l_3_om,3Orange,POINT,12,3
18.602,104.620,19.03,u_3_om,3Orange,START,12,3
19.075,104.620,19.03,l_conf,Configuration,POINT,12,3
20.599,104.620,19.03,BC,BrickClick,POINT,12,3
20.599,104.620,19.03,u_3_om,3Orange,STOP,12,3
20.652,104.620,19.03,BC,BrickClick,POINT,12,3
20.757,104.620,19.03,u_base,Base,START,12,3
20.757,104.620,19.03,u_conf,Configuration,STOP,12,3
20.967,104.620,19.03,l_3_ob,3Orange,POINT,12,3
21.387,104.620,19.03,u_3_ob,3Orange,START,12,3
21.492,104.620,19.03,l_1t,1transparent,POINT,12,3
21.965,104.620,19.03,l_base,Base,START,12,3
22.543,104.620,19.03,l_3_ob,3Orange,POINT,12,3
