time,total_length,FPS,behavior,behavioral_category,status,participantID,block,start_timestamp,duration_ms,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,confidence,time_pupil,time_dif
66.982,93.27,20.11,u_3_os,3Orange,STOP,18,3,9013.5758280000009,496.11949999962235,1399,1403,0.42090546770795645,0.4697729901639555,0.7738888004429463,66.90572000000066,0.07627999999934332
67.578,93.27,20.11,l_base,Base,START,18,3,9014.3137125,142.22250000057102,1404,1405,0.30774172660319854,0.4463796183033103,0.6984327011055944,67.64360449999913,0.06560449999912521
69.02,93.27,20.11,remove,Remove,POINT,18,3,9015.6498995,82.24250000057509,1415,1417,0.4309963473065294,0.38150522050795715,0.863336471529533,68.97979149999992,0.0402085000000767
69.667,93.27,20.11,remove,Remove,POINT,18,3,9016.519046000001,332.9199999989214,1437,1437,0.4520821930087404,0.4060022423901822,0.7981538218352057,69.848938000001,0.18193800000099714
73.894,93.27,20.11,BC,BrickClick,POINT,18,3,9020.608428,191.83200000043144,1458,1460,0.3816801761003142,0.3187349250957428,0.8063480130814902,73.9383199999993,0.044319999999288484
75.783,93.27,20.11,BC,BrickClick,POINT,18,3,9022.596896000001,203.41799999914656,1487,1489,0.45330230852254816,0.27638006212547894,0.8597648363862387,75.92678800000067,0.1437880000006686
76.131,93.27,20.11,l_base,Base,STOP,18,3,9022.966487000002,85.34799999870302,1491,1492,0.5550530148807775,0.33512139983749395,0.7448151750020522,76.29637900000125,0.16537900000125205
76.231,93.27,20.11,l_4r_1,4Red,POINT,18,3,9022.966487000002,85.34799999870302,1491,1492,0.5550530148807775,0.33512139983749395,0.7448151750020522,76.29637900000125,0.06537900000125774
76.231,93.27,20.11,u_4r_1,4Red,START,18,3,9022.966487000002,85.34799999870302,1491,1492,0.5550530148807775,0.33512139983749395,0.7448151750020522,76.29637900000125,0.06537900000125774
77.573,93.27,20.11,BC,BrickClick,POINT,18,3,9024.139939,421.42000000058033,1503,1511,0.40220615584135627,0.41956524333781686,0.8102846713901745,77.46983100000034,0.10316899999965301
77.573,93.27,20.11,u_4r_1,4Red,STOP,18,3,9024.139939,421.42000000058033,1503,1511,0.40220615584135627,0.41956524333781686,0.8102846713901745,77.46983100000034,0.10316899999965301
78.27,93.27,20.11,l_base,Base,START,18,3,9025.131875000001,239.97599999893282,1521,1525,0.2968861983503481,0.4615678559093228,0.8548537578846293,78.46176700000069,0.19176700000069502
78.27,93.27,20.11,u_4r_2,4Red,START,18,3,9025.131875000001,239.97599999893282,1521,1525,0.2968861983503481,0.4615678559093228,0.8548537578846293,78.46176700000069,0.19176700000069502
78.618,93.27,20.11,l_4r_2,4Red,POINT,18,3,9025.409263000001,499.4799999985844,1525,1531,0.42351492031696747,0.3906562274445459,0.8495403249543871,78.73915500000112,0.12115500000112434
78.618,93.27,20.11,l_base,Base,STOP,18,3,9025.409263000001,499.4799999985844,1525,1531,0.42351492031696747,0.3906562274445459,0.8495403249543871,78.73915500000112,0.12115500000112434
79.761,93.27,20.11,BC,BrickClick,POINT,18,3,9026.610142000001,240.00599999999395,1542,1543,0.8233894582561604,0.3577923000559446,0.8269708139866117,79.9400340000011,0.17903400000110992
79.761,93.27,20.11,l_conf,Configuration,POINT,18,3,9026.610142000001,240.00599999999395,1542,1543,0.8233894582561604,0.3577923000559446,0.8269708139866117,79.9400340000011,0.17903400000110992
79.761,93.27,20.11,u_4r_2,4Red,STOP,18,3,9026.610142000001,240.00599999999395,1542,1543,0.8233894582561604,0.3577923000559446,0.8269708139866117,79.9400340000011,0.17903400000110992
80.209,93.27,20.11,l_conf,Configuration,POINT,18,3,9026.854243500002,146.5509999979986,1543,1545,0.8367025960919027,0.3824258583503783,0.8143027950409693,80.1841355000015,0.024864499998500378
80.806,93.27,20.11,l_4yr_1,4YellowRound,POINT,18,3,9027.5239155,132.56550000187417,1552,1553,0.4712696309444078,0.6181532631335322,0.9737408184313419,80.85380749999968,0.047807499999677816
81.004,93.27,20.11,l_4yr_2,4YellowRound,POINT,18,3,9027.791060000001,157.68599999864819,1555,1560,0.3686299455170313,0.5131354802142081,0.9579511416455959,81.12095200000113,0.11695200000112038
81.353,93.27,20.11,u_conf,Configuration,START,18,3,9027.791060000001,157.68599999864819,1555,1560,0.3686299455170313,0.5131354802142081,0.9579511416455959,81.12095200000113,0.23204799999886916
82.596,93.27,20.11,BC,BrickClick,POINT,18,3,9029.248887500002,160.98949999832257,1599,1604,0.4340098776338493,0.41410562215471913,0.7645443185282308,82.57877950000147,0.017220499998529704
82.944,93.27,20.11,l_4yr_2,4YellowRound,POINT,18,3,9029.654276000001,103.70700000021316,1611,1614,0.643597575854474,0.6567691349967955,0.9130236961462139,82.98416800000086,0.04016800000086107
82.944,93.27,20.11,u_conf,Configuration,STOP,18,3,9029.654276000001,103.70700000021316,1611,1614,0.643597575854474,0.6567691349967955,0.9130236961462139,82.98416800000086,0.04016800000086107
83.342,93.27,20.11,u_4yr_2,4YellowRound,START,18,3,9029.906782500002,91.98699999978999,1618,1620,0.7118478749255903,0.5792625599451151,0.6925551821654657,83.23667450000175,0.10532549999824425
83.59,93.27,20.11,l_base,Base,START,18,3,9030.2440695,155.8294999995269,1627,1629,0.43834398450731943,0.5199644810227017,0.7733117464430029,83.57396150000022,0.016038499999780242
85.231,93.27,20.11,BC,BrickClick,POINT,18,3,9032.120964,107.20300000139105,1674,1676,0.41538715449008784,0.5454548158011827,0.8539824087132537,85.45085599999948,0.21985599999948136
85.281,93.27,20.11,u_4yr_2,4YellowRound,STOP,18,3,9032.120964,107.20300000139105,1674,1676,0.41538715449008784,0.5454548158011827,0.8539824087132537,85.45085599999948,0.16985599999947
85.43,93.27,20.11,l_4yr_3,4YellowRound,POINT,18,3,9032.120964,107.20300000139105,1674,1676,0.41538715449008784,0.5454548158011827,0.8539824087132537,85.45085599999948,0.020855999999469077
85.43,93.27,20.11,l_base,Base,STOP,18,3,9032.120964,107.20300000139105,1674,1676,0.41538715449008784,0.5454548158011827,0.8539824087132537,85.45085599999948,0.020855999999469077
85.778,93.27,20.11,u_4yr_3,4YellowRound,START,18,3,9032.560211,262.9435000017111,1685,1689,0.42598077315209004,0.5161633499425211,0.7868489793047277,85.89010299999973,0.11210299999972051
86.126,93.27,20.11,l_base,Base,START,18,3,9032.93128,492.378999999346,1691,1704,0.40694855022850185,0.4076126858441148,0.839866732738528,86.26117200000044,0.13517200000043772
87.121,93.27,20.11,BC,BrickClick,POINT,18,3,9033.807012000001,127.98950000069453,1715,1718,0.38913862960858037,0.49955908817624506,0.8636267249982839,87.13690400000087,0.015904000000872998
87.469,93.27,20.11,l_base,Base,STOP,18,3,9034.30321,80.01750000039465,1728,1731,0.8397000531938211,0.40595986293227737,0.897960829412902,87.63310199999978,0.16410199999978659
