time,total_length,FPS,behavior,behavioral_category,status,participantID,block,start_timestamp,duration_ms,start_frame_index,end_frame_index,norm_pos_x,norm_pos_y,confidence,time_pupil,time_dif
0.954,129.95,20.97,l_3_ob,3Orange,POINT,12,1,3409.5190110000003,141.71299999998155,30,33,0.2921202569982067,0.5805367717182324,0.8276881965616529,1.0189020000007076,0.06490200000070767
1.049,129.95,20.97,l_1t,1transparent,POINT,12,1,3409.5190110000003,141.71299999998155,30,33,0.2921202569982067,0.5805367717182324,0.8276881965616529,1.0189020000007076,0.030097999999292302
2.337,129.95,20.97,l_4yr_1,4YellowRound,POINT,12,1,3410.742007,218.58700000029785,63,70,0.274371395812143,0.5277592806287521,0.9231140140965615,2.2418980000002193,0.09510199999978086
2.623,129.95,20.97,l_1t,1transparent,POINT,12,1,3411.0584495000003,156.52849999969476,72,76,0.3082547634431936,0.5442420931794297,0.9449045324806534,2.558340500000668,0.0646594999993324
2.957,129.95,20.97,l_4r_1,4Red,POINT,12,1,3411.3351310000003,98.26500000008309,79,81,0.3590228877483081,0.5554083412195026,0.9342775890785749,2.835022000000663,0.1219779999993369
3.91,129.95,20.97,l_1t,1transparent,POINT,12,1,3412.3811100000003,161.4599999998063,107,112,0.31966647988743946,0.49355336943501726,0.8853465956155958,3.8810010000006514,0.02899899999934874
5.484,129.95,20.97,l_2dr_1,2DarkRed,POINT,12,1,3414.03377,109.09500000025218,154,158,0.2750815451174192,0.345538952100581,0.9098742392549287,5.533661000000393,0.049661000000392974
6.104,129.95,20.97,l_3_om,3Orange,POINT,12,1,3414.581148,164.20650000009118,168,168,0.3929879123971565,0.5763126222426033,0.8389966895275511,6.081039000000601,0.022960999999399156
9.728,129.95,20.97,l_4yr_1,4YellowRound,POINT,12,1,3418.4133300000003,263.31249999975626,254,262,0.25611838388203345,0.6598861643126653,0.8504338995572637,9.913221000000703,0.18522100000070374
10.062,129.95,20.97,l_1t,1transparent,POINT,12,1,3418.7005785,214.27700000003824,262,268,0.2503501018802219,0.6387133382285262,0.9749299564239561,10.200469500000509,0.13846950000050917
11.779,129.95,20.97,l_4r_2,4Red,POINT,12,1,3420.4026790000003,203.30399999966176,310,317,0.5131989010631841,0.4824819780344498,0.9358181962373598,11.902570000000651,0.12357000000065099
12.923,129.95,20.97,l_3_om,3Orange,POINT,12,1,3421.4591895000003,194.27249999989726,342,346,0.5092478913828419,0.4917402501431251,0.7909194038683907,12.95908050000071,0.03608050000070939
13.305,129.95,20.97,l_1t,1transparent,POINT,12,1,3421.7556585,112.2984999997243,348,351,0.3383108890632856,0.5537317488380314,0.8834132001309615,13.255549500000598,0.0494504999994021
15.308,129.95,20.97,l_2dr_1,2DarkRed,POINT,12,1,3423.7475,143.01900000009482,406,406,0.3556838420144983,0.4191094432383732,0.8033613679923736,15.247391000000334,0.060608999999665514
17.024,129.95,20.97,l_2dr_1,2DarkRed,POINT,12,1,3425.507379,81.38599999983853,432,435,0.4034404097009528,0.24361087525648537,0.8914792852777665,17.007270000000517,0.01672999999948388
17.501,129.95,20.97,l_3_os,3Orange,POINT,12,1,3425.9638715,125.4335000003266,445,449,0.4940102474001589,0.23290997808796543,0.7942988194693502,17.463762500000485,0.03723749999951664
18.741,129.95,20.97,u_1t,1transparent,START,12,1,3427.2825940000002,207.96100000006845,482,488,0.2542024428205277,0.4065994921520877,0.754036652228677,18.782485000000634,0.04148500000063393
18.836,129.95,20.97,u_2dr_1,2DarkRed,START,12,1,3427.2825940000002,207.96100000006845,482,488,0.2542024428205277,0.4065994921520877,0.754036652228677,18.782485000000634,0.05351499999936493
19.456,129.95,20.97,l_1t,1transparent,POINT,12,1,3427.846826,256.81500000018787,499,507,0.2604261828441794,0.43146637654981246,0.7644845228257274,19.346717000000353,0.10928299999964608
20.505,129.95,20.97,l_3_os,3Orange,POINT,12,1,3428.9432645,83.87850000008257,527,530,0.4910697822319284,0.4061227041326133,0.8106844257389045,20.443155500000557,0.06184449999944164
20.839,129.95,20.97,l_2dr_1,2DarkRed,POINT,12,1,3429.339069,231.764000000112,538,545,0.4058079944624811,0.6521772848412374,0.9982333358178642,20.838960000000498,3.9999999501105776e-5
21.602,129.95,20.97,l_1t,1transparent,POINT,12,1,3430.049034,345.82700000009936,560,570,0.29745644649732556,0.5639688141185509,0.8886635657697327,21.54892500000051,0.05307499999949172
23.319,129.95,20.97,BC,BrickClick,POINT,12,1,3431.9104850000003,94.32749999996304,589,589,0.2975923760177456,0.644449857426672,0.9611542935096458,23.410376000000724,0.0913760000007251
23.367,129.95,20.97,u_1t,1transparent,STOP,12,1,3431.9104850000003,94.32749999996304,589,589,0.2975923760177456,0.644449857426672,0.9611542935096458,23.410376000000724,0.04337600000072328
23.367,129.95,20.97,u_2dr_1,2DarkRed,STOP,12,1,3431.9104850000003,94.32749999996304,589,589,0.2975923760177456,0.644449857426672,0.9611542935096458,23.410376000000724,0.04337600000072328
23.367,129.95,20.97,u_conf,Configuration,START,12,1,3431.9104850000003,94.32749999996304,589,589,0.2975923760177456,0.644449857426672,0.9611542935096458,23.410376000000724,0.04337600000072328
23.796,129.95,20.97,l_4r_3,4Red,POINT,12,1,3432.422627,103.93500000009226,597,601,0.3618940202530515,0.4922378737116686,0.9029186342215269,23.92251800000031,0.12651800000030988
24.416,129.95,20.97,l_conf,Configuration,POINT,12,1,3432.8201285,385.5705000000853,609,620,0.33361360450644967,0.6014989386843085,0.8744840531459291,24.3200195000004,0.09598049999960168
